,nA1,steps,nA2,age,social,neigh10,reprod,food,death,mutation_rate,time,combination,start_cog,round
155,17105.0,155,262.0,14.65648854961832,0.027058087932170332,1.001265849845922,0.3505154639175257,0.0,0.0,0.025,24985.76765155792,7,100.0,1
156,17225.0,156,296.0,13.858108108108109,0.0297366172893651,1.0009685876825414,0.1297709923664122,0.0,0.0,0.025,24985.76765155792,7,100.0,1
157,17271.0,157,296.0,14.858108108108109,0.03229395124233144,1.002997645667746,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
158,17294.0,158,304.0,15.44078947368421,0.03144411042016484,1.0026757414524068,0.027027027027027032,0.0,0.0,0.025,24985.76765155792,7,100.0,1
159,17316.0,159,312.0,16.01923076923077,0.030468562218142595,1.0023862045447165,0.02631578947368421,0.0,0.0,0.025,24985.76765155792,7,100.0,1
160,17459.0,160,312.0,17.01923076923077,0.03003262659694747,1.0010336035858098,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
161,17668.0,161,312.0,18.01923076923077,0.030032626596947488,1.0008259119545135,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
162,17912.0,162,312.0,19.01923076923077,0.030032626596947488,1.0014427383366271,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
163,18055.0,163,312.0,20.01923076923077,0.03003262659694748,0.9999830932232092,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
164,18128.0,164,314.0,20.88535031847134,0.02984133598168032,1.002441640066244,0.00641025641025641,0.0,0.0,0.025,24985.76765155792,7,100.0,1
165,18153.0,165,318.0,21.61006289308176,0.03174758120651972,1.0014345837905698,0.012738853503184714,0.0,0.0,0.025,24985.76765155792,7,100.0,1
166,18168.0,166,320.0,22.46875,0.03604160411176524,1.0011169023352091,0.006289308176100629,0.0,0.0,0.025,24985.76765155792,7,100.0,1
167,18225.0,167,388.0,19.355670103092784,0.03155726840363692,1.0019717118082203,0.2125,0.0,0.0,0.025,24985.76765155792,7,100.0,1
168,18381.0,168,524.0,15.072519083969464,0.02718462112974953,0.9996741044947602,0.3505154639175257,0.0,0.0,0.025,24985.76765155792,7,100.0,1
169,18583.0,169,592.0,14.226351351351347,0.02983664686277975,1.0004494969930482,0.1297709923664122,0.0,0.0,0.025,24985.76765155792,7,100.0,1
170,18772.0,170,600.0,15.023333333333332,0.03213241417639946,1.001995607511229,0.013513513513513514,0.0,0.0,0.025,24985.76765155792,7,100.0,1
171,18885.0,171,616.0,15.607142857142858,0.03126330615853132,1.001416982314004,0.02666666666666667,0.0,0.0,0.025,24985.76765155792,7,100.0,1
172,18932.0,172,624.0,16.39423076923077,0.030526261452040793,1.0010570571286403,0.012987012987012988,0.0,0.0,0.025,24985.76765155792,7,100.0,1
173,18952.0,173,624.0,17.39423076923077,0.03028616871969377,1.0020072296269678,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
174,18971.0,174,624.0,18.39423076923077,0.030286168719693755,1.0011043833677271,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
175,19062.0,175,624.0,19.39423076923077,0.030286168719693793,1.003012931812593,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
176,19216.0,176,624.0,20.39423076923077,0.030286168719693782,1.000309972804855,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
177,19412.0,177,628.0,21.257961783439487,0.030093263186447325,1.0005478906341403,0.00641025641025641,0.0,0.0,0.025,24985.76765155792,7,100.0,1
178,19532.0,178,636.0,21.97798742138365,0.031885590188886516,1.0022629751320462,0.012738853503184714,0.0,0.0,0.025,24985.76765155792,7,100.0,1
179,19584.0,179,708.0,20.64124293785311,0.032669265420455375,0.9999593700269668,0.11320754716981132,0.0,0.0,0.025,24985.76765155792,7,100.0,1
180,19615.0,180,912.0,16.80043859649123,0.029175070716619168,1.0005844806983442,0.288135593220339,0.0,0.0,0.025,24985.76765155792,7,100.0,1
181,19631.0,181,1116.0,14.546594982078853,0.0286684832732758,0.9985875453744876,0.2236842105263158,0.0,0.0,0.025,24985.76765155792,7,100.0,1
182,19676.0,182,1184.0,14.653716216216214,0.03129993797317195,1.0017357162521412,0.06093189964157706,0.0,0.0,0.025,24985.76765155792,7,100.0,1
